Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Relative Effort,Commute,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.type,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.start_time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.jump_count,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.total_grit,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.avg_flow,translation missing: en-US.lib.export.portability_exporter.activities.horton_values.flagged
3908108890,"Aug 13, 2020, 3:32:19 PM",Afternoon ride,Ride,,7316,31.96,,false,specialized rockhopper pro 1x 2019,activities/3908108890.gpx,,14.0,7316.0,5080.0,31966.30078125,10.600000381469727,6.29257869720459,102.78862762451172,100.9886245727539,71.4000015258789,101.9000015258789,18.799999237060547,0.005630929954349995,,,,,,,,206.66574096679688,1170.5960693359375,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3913839801,"Aug 14, 2020, 11:01:52 PM",Home and back,Ride,,3315,15.42,,false,specialized rockhopper pro 1x 2019,activities/3913839801.gpx,,14.0,3315.0,2515.0,15420.7998046875,10.5,6.13153076171875,97.60353088378906,97.50353240966797,70.19999694824219,98.5999984741211,36.099998474121094,0.0006484747864305973,,,,,,,,182.17910766601562,510.8711853027344,,,,,,,,,5.0,,,,,0.0,45.0,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3917858188,"Aug 15, 2020, 4:00:13 PM",Afternoon ridee,Ride,,7116,30.17,,false,specialized rockhopper pro 1x 2019,activities/3917858188.gpx,,14.0,7116.0,4713.0,30171.80078125,11.899999618530273,6.401824951171875,120.29061889648438,120.49061584472656,61.70000076293945,98.69999694824219,43.900001525878906,-0.0006628706469200552,,,,,,,,195.20510864257812,1025.8018798828125,,,,,,,,,6.0,,,,,0.0,124.0,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3923889945,"Aug 16, 2020, 10:03:05 PM",First run in a year that also in the rain 🌧️,Run,"",1436,4.71,,false,,activities/3923889945.gpx,,,1436.0,1418.0,4717.5,6.800000190734863,3.326868772506714,17.32817268371582,22.528200149536133,93.5,111.9000015258789,26.5,-0.11022787541151047,,,,,,,,,373.2434997558594,,,,,,,,,,,,,,0.0,,0.0,,1.0,4746.5,,,,,,,,,,,,,,,,,,,,,,,,,,
3933030927,"Aug 18, 2020, 8:42:20 PM",Evening ride,Ride,,1090,6.21,,false,specialized rockhopper pro 1x 2019,activities/3933030927.gpx,,14.0,1090.0,977.0,6211.89990234375,13.399999618530273,6.358137130737305,6.087301731109619,19.88730239868164,63.70000076293945,82.0,7.5,-0.22215425968170166,,,,,,,,193.63687133789062,210.9392852783203,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3933278894,"Aug 18, 2020, 9:29:33 PM",Evening ride 2,Ride,,2973,16.47,,false,specialized rockhopper pro 1x 2019,activities/3933278894.gpx,,14.0,2973.0,2572.0,16469.5,10.899999618530273,6.403382778167725,103.01329803466797,98.21329498291016,56.79999923706055,90.5,46.20000076293945,0.029144782572984695,,,,,,,,189.92587280273438,544.6655883789062,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3938286537,"Aug 19, 2020, 10:51:41 PM",Evening Sprint 🚴‍♂️,Ride,,3623,25.04,,false,specialized rockhopper pro 1x 2019,activities/3938286537.gpx,,14.0,3623.0,3320.0,25043.099609375,13.300000190734863,7.543102264404297,67.85345458984375,94.75345611572266,49.5,82.0,19.200000762939453,-0.10741481930017471,,,,,,,,230.7354736328125,854.1365966796875,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3942760188,"Aug 20, 2020, 8:55:04 PM",Evening ride 🚴‍♂️,Ride,,4320,26.76,,false,specialized rockhopper pro 1x 2019,activities/3942760188.gpx,,14.0,4320.0,3991.0,26759.900390625,11.899999618530273,6.705061435699463,96.69261932373047,113.59262084960938,46.0,82.0999984741211,12.699999809265137,-0.0631541982293129,,,,,,,,199.7655487060547,888.94970703125,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3951678644,"Aug 22, 2020, 9:37:02 PM",Evening ride,Ride,,1326,7.49,,false,specialized rockhopper pro 1x 2019,activities/3951678644.gpx,,14.0,1326.0,1139.0,7491.2001953125,11.699999809265137,6.57699728012085,52.22535705566406,40.425357818603516,71.4000015258789,98.5999984741211,10.100000381469727,0.1575181484222412,,,,,,,,217.70162963867188,276.4778137207031,,,,,,,,,4.0,,,,,0.0,12.0,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
3956349949,"Aug 23, 2020, 6:55:37 PM",Afternoon ride,Ride,,1029,6.71,,false,specialized rockhopper pro 1x 2019,activities/3956349949.gpx,,14.0,1029.0,1006.0,6709.60009765625,11.399999618530273,6.669582366943359,33.645477294921875,49.34547805786133,71.4000015258789,98.5,12.0,-0.23399308323860168,,,,,,,,187.08482360839844,209.85118103027344,,,,,,,,,,,,,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,7700234.0,,,,,,,,,,,
